Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TWD","TWD CASH","Cash and/or Derivatives","Cash","10,285,856.35","1.76","10,285,856.35","321,294,152.00","3.20","Taiwan","-","USD","31.24","TWD","-"
"ATO","ATOS","Information Technology","Equity","6,847,396.37","1.17","6,847,396.37","798,510.00","8.58","France","Nyse Euronext - Euronext Paris","USD","0.92","EUR","-"
"SNAP","SNAP INC CLASS A","Communication","Equity","6,365,625.48","1.09","6,365,625.48","376,219.00","16.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLAB","SILICON LABORATORIES INC","Information Technology","Equity","6,334,549.30","1.09","6,334,549.30","47,521.00","133.30","United States","NASDAQ","USD","1.00","USD","-"
"LUMN","LUMEN TECHNOLOGIES INC","Communication","Equity","6,268,165.75","1.08","6,268,165.75","3,463,075.00","1.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AUTO","AUTOSTORE HOLDINGS LTD","Industrials","Equity","6,200,651.37","1.06","6,200,651.37","3,183,229.00","1.95","Norway","Oslo Bors Asa","USD","10.47","NOK","-"
"LSCC","LATTICE SEMICONDUCTOR CORP","Information Technology","Equity","5,922,896.70","1.02","5,922,896.70","85,038.00","69.65","United States","NASDAQ","USD","1.00","USD","-"
"DOCN","DIGITALOCEAN HOLDINGS INC","Information Technology","Equity","5,912,316.95","1.01","5,912,316.95","166,685.00","35.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AYX","ALTERYX INC CLASS A","Information Technology","Equity","5,894,748.20","1.01","5,894,748.20","122,705.00","48.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","5,893,837.40","1.01","5,893,837.40","42,356.00","139.15","United States","NASDAQ","USD","1.00","USD","-"
"ADSK","AUTODESK INC","Information Technology","Equity","5,852,999.53","1.00","5,852,999.53","24,157.00","242.29","United States","NASDAQ","USD","1.00","USD","-"
"FRSH","FRESHWORKS INC CLASS A","Information Technology","Equity","5,789,310.45","0.99","5,789,310.45","239,723.00","24.15","United States","NASDAQ","USD","1.00","USD","-"
"DDD","3D SYSTEMS CORP","Industrials","Equity","5,782,146.91","0.99","5,782,146.91","902,051.00","6.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMBA","AMBARELLA INC","Information Technology","Equity","5,752,268.67","0.99","5,752,268.67","89,781.00","64.07","United States","NASDAQ","USD","1.00","USD","-"
"INFA","INFORMATICA INC CLASS A","Information Technology","Equity","5,743,140.48","0.99","5,743,140.48","198,176.00","28.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PINS","PINTEREST INC CLASS A","Communication","Equity","5,740,256.22","0.98","5,740,256.22","153,606.00","37.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMBL","BUMBLE INC CLASS A","Communication","Equity","5,682,468.28","0.97","5,682,468.28","374,833.00","15.16","United States","NASDAQ","USD","1.00","USD","-"
"HUBS","HUBSPOT INC","Information Technology","Equity","5,667,550.64","0.97","5,667,550.64","10,162.00","557.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CGNX","COGNEX CORP","Information Technology","Equity","5,663,504.24","0.97","5,663,504.24","135,361.00","41.84","United States","NASDAQ","USD","1.00","USD","-"
"SIRI","SIRIUS XM HOLDINGS INC","Communication","Equity","5,659,011.00","0.97","5,659,011.00","1,047,965.00","5.40","United States","NASDAQ","USD","1.00","USD","-"
"CEVA","CEVA INC","Information Technology","Equity","5,658,947.25","0.97","5,658,947.25","240,295.00","23.55","United States","NASDAQ","USD","1.00","USD","-"
"SPOT","SPOTIFY TECHNOLOGY SA","Communication","Equity","5,658,061.31","0.97","5,658,061.31","29,443.00","192.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"3443","GLOBAL UNICHIP CORP","Information Technology","Equity","5,650,440.99","0.97","5,650,440.99","100,000.00","56.50","Taiwan","Taiwan Stock Exchange","USD","31.24","TWD","-"
"ARM","ARM HOLDINGS AMERICAN DEPOSITARY S","Information Technology","Equity","5,645,109.25","0.97","5,645,109.25","79,475.00","71.03","United Kingdom","NASDAQ","USD","1.00","USD","-"
"3661","ALCHIP TECHNOLOGIES LTD","Information Technology","Equity","5,616,506.33","0.96","5,616,506.33","51,000.00","110.13","Taiwan","Taiwan Stock Exchange","USD","31.24","TWD","-"
"SNOW","SNOWFLAKE CLASS A","Information Technology","Equity","5,605,116.65","0.96","5,605,116.65","28,165.00","199.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","5,577,060.45","0.96","5,577,060.45","38,965.00","143.13","United States","NASDAQ","USD","1.00","USD","-"
"MTRN","MAYTRONICS LTD","Consumer Discretionary","Equity","5,561,409.07","0.95","5,561,409.07","516,141.00","10.77","Israel","Tel Aviv Stock Exchange","USD","3.67","ILS","-"
"6758","SONY GROUP CORP","Consumer Discretionary","Equity","5,543,804.45","0.95","5,543,804.45","58,800.00","94.28","Japan","Tokyo Stock Exchange","USD","141.76","JPY","-"
"YY","JOYY ADR INC","Communication","Equity","5,543,208.20","0.95","5,543,208.20","143,830.00","38.54","China","NASDAQ","USD","1.00","USD","-"
"MOMO","HELLO GROUP ADR INC","Communication","Equity","5,529,066.56","0.95","5,529,066.56","772,216.00","7.16","China","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","5,514,122.88","0.95","5,514,122.88","16,464.00","334.92","United States","NASDAQ","USD","1.00","USD","-"
"2018","AAC TECHNOLOGIES HOLDINGS INC","Information Technology","Equity","5,507,543.87","0.94","5,507,543.87","1,806,000.00","3.05","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"SSYS","STRATASYS LTD","Information Technology","Equity","5,496,272.88","0.94","5,496,272.88","435,176.00","12.63","United States","NASDAQ","USD","1.00","USD","-"
"MSTR","MICROSTRATEGY INC CLASS A","Information Technology","Equity","5,482,210.51","0.94","5,482,210.51","9,611.00","570.41","United States","NASDAQ","USD","1.00","USD","-"
"CLVT","CLARIVATE PLC","Industrials","Equity","5,468,602.50","0.94","5,468,602.50","643,365.00","8.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","5,461,525.44","0.94","5,461,525.44","27,188.00","200.88","United States","NASDAQ","USD","1.00","USD","-"
"FUBO","FUBOTV INC","Communication","Equity","5,431,181.28","0.93","5,431,181.28","1,616,423.00","3.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GENI","GENIUS SPORTS LTD","Consumer Discretionary","Equity","5,425,745.50","0.93","5,425,745.50","911,890.00","5.95","United Kingdom","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","5,417,026.60","0.93","5,417,026.60","58,753.00","92.20","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","5,408,622.08","0.93","5,408,622.08","32,072.00","168.64","United States","NASDAQ","USD","1.00","USD","-"
"277810","RAINBOW ROBOTICS","Industrials","Equity","5,406,335.76","0.93","5,406,335.76","38,724.00","139.61","Korea (South)","Korea Exchange (Kosdaq)","USD","1,296.45","KRW","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","5,405,767.30","0.93","5,405,767.30","11,057.00","488.90","United States","NASDAQ","USD","1.00","USD","-"
"IQ","IQIYI ADS REPRESENTING INC","Communication","Equity","5,401,183.32","0.93","5,401,183.32","1,154,099.00","4.68","China","NASDAQ","USD","1.00","USD","-"
"6506","YASKAWA ELECTRIC CORP","Industrials","Equity","5,397,837.82","0.93","5,397,837.82","134,500.00","40.13","Japan","Tokyo Stock Exchange","USD","141.76","JPY","-"
"IFX","INFINEON TECHNOLOGIES AG","Information Technology","Equity","5,387,017.89","0.92","5,387,017.89","126,820.00","42.48","Germany","Xetra","USD","0.92","EUR","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","5,375,338.80","0.92","5,375,338.80","40,538.00","132.60","United States","NASDAQ","USD","1.00","USD","-"
"ABBN","ABB LTD","Industrials","Equity","5,366,708.08","0.92","5,366,708.08","123,170.00","43.57","Switzerland","SIX Swiss Exchange","USD","0.87","CHF","-"
"STLAM","STELLANTIS NV","Consumer Discretionary","Equity","5,362,941.62","0.92","5,362,941.62","228,041.00","23.52","Italy","Borsa Italiana","USD","0.92","EUR","-"
"ALTR","ALTAIR ENGINEERING INC CLASS A","Information Technology","Equity","5,356,686.16","0.92","5,356,686.16","72,212.00","74.18","United States","NASDAQ","USD","1.00","USD","-"
"STMPA","STMICROELECTRONICS NV","Information Technology","Equity","5,354,098.19","0.92","5,354,098.19","104,775.00","51.10","France","Nyse Euronext - Euronext Paris","USD","0.92","EUR","-"
"PARA","PARAMOUNT GLOBAL CLASS B","Communication","Equity","5,353,399.45","0.92","5,353,399.45","329,035.00","16.27","United States","NASDAQ","USD","1.00","USD","-"
"6479","MINEBEA MITSUMI INC","Industrials","Equity","5,328,271.31","0.91","5,328,271.31","265,300.00","20.08","Japan","Tokyo Stock Exchange","USD","141.76","JPY","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","5,303,414.72","0.91","5,303,414.72","114,892.00","46.16","United States","NASDAQ","USD","1.00","USD","-"
"ATS","ATS CORP","Industrials","Equity","5,283,618.08","0.91","5,283,618.08","123,591.00","42.75","Canada","Toronto Stock Exchange","USD","1.34","CAD","-"
"6526","AIROHA TECHNOLOGY CORP","Information Technology","Equity","5,273,638.21","0.90","5,273,638.21","285,000.00","18.50","Taiwan","Taiwan Stock Exchange","USD","31.24","TWD","-"
"136","CHINA RUYI HOLDINGS LTD","Communication","Equity","5,261,065.94","0.90","5,261,065.94","21,840,000.00","0.24","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"6954","FANUC CORP","Industrials","Equity","5,252,034.14","0.90","5,252,034.14","181,100.00","29.00","Japan","Tokyo Stock Exchange","USD","141.76","JPY","-"
"DUE","DUERR AG","Industrials","Equity","5,251,430.33","0.90","5,251,430.33","231,743.00","22.66","Germany","Xetra","USD","0.92","EUR","-"
"DBX","DROPBOX INC CLASS A","Information Technology","Equity","5,249,819.18","0.90","5,249,819.18","177,239.00","29.62","United States","NASDAQ","USD","1.00","USD","-"
"6594","NIDEC CORP","Industrials","Equity","5,234,992.77","0.90","5,234,992.77","132,800.00","39.42","Japan","Tokyo Stock Exchange","USD","141.76","JPY","-"
"IRBT","IROBOT CORP","Consumer Discretionary","Equity","5,233,932.04","0.90","5,233,932.04","138,997.00","37.66","United States","NASDAQ","USD","1.00","USD","-"
"6971","KYOCERA CORP","Information Technology","Equity","5,230,870.16","0.90","5,230,870.16","91,600.00","57.11","Japan","Tokyo Stock Exchange","USD","141.76","JPY","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","5,227,224.60","0.90","5,227,224.60","16,116.00","324.35","United States","NASDAQ","USD","1.00","USD","-"
"ESTC","ELASTIC NV","Information Technology","Equity","5,208,013.27","0.89","5,208,013.27","46,199.00","112.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRLB","PROTO LABS INC","Industrials","Equity","5,201,876.26","0.89","5,201,876.26","137,543.00","37.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"1810","XIAOMI CORP","Information Technology","Equity","5,197,567.00","0.89","5,197,567.00","2,538,400.00","2.05","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"NNDM","NANO DIMENSION SPONSORED ADR REPR","Information Technology","Equity","5,191,020.25","0.89","5,191,020.25","2,171,975.00","2.39","Israel","NASDAQ","USD","1.00","USD","-"
"AME","AMETEK INC","Industrials","Equity","5,186,881.48","0.89","5,186,881.48","31,796.00","163.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"4716","ORACLE JAPAN CORP","Information Technology","Equity","5,183,027.05","0.89","5,183,027.05","65,600.00","79.01","Japan","Tokyo Stock Exchange","USD","141.76","JPY","-"
"SPLK","SPLUNK INC","Information Technology","Equity","5,170,258.40","0.89","5,170,258.40","33,890.00","152.56","United States","NASDAQ","USD","1.00","USD","-"
"GDDY","GODADDY INC CLASS A","Information Technology","Equity","5,159,848.32","0.89","5,159,848.32","49,104.00","105.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"2049","HIWIN TECHNOLOGIES CORP","Industrials","Equity","5,156,684.26","0.88","5,156,684.26","703,392.00","7.33","Taiwan","Taiwan Stock Exchange","USD","31.24","TWD","-"
"MTTR","MATTERPORT INC CLASS A","Information Technology","Equity","5,153,963.76","0.88","5,153,963.76","1,952,259.00","2.64","United States","NASDAQ","USD","1.00","USD","-"
"MVIS","MICROVISION INC","Information Technology","Equity","5,152,310.33","0.88","5,152,310.33","1,915,357.00","2.69","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","5,151,319.53","0.88","5,151,319.53","34,349.00","149.97","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","5,143,734.95","0.88","5,143,734.95","26,035.00","197.57","United States","NASDAQ","USD","1.00","USD","-"
"700","TENCENT HOLDINGS LTD","Communication","Equity","5,140,394.78","0.88","5,140,394.78","127,600.00","40.29","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"6324","HARMONIC DRIVE SYSTEMS INC","Industrials","Equity","5,135,917.60","0.88","5,135,917.60","174,800.00","29.38","Japan","Tokyo Stock Exchange","USD","141.76","JPY","-"
"763","ZTE CORP H","Information Technology","Equity","5,132,168.60","0.88","5,132,168.60","2,294,000.00","2.24","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"PTON","PELOTON INTERACTIVE CLASS A INC","Consumer Discretionary","Equity","5,116,031.25","0.88","5,116,031.25","831,875.00","6.15","United States","NASDAQ","USD","1.00","USD","-"
"DSY","DASSAULT SYSTEMES","Information Technology","Equity","5,115,309.60","0.88","5,115,309.60","105,809.00","48.34","France","Nyse Euronext - Euronext Paris","USD","0.92","EUR","-"
"MP1","MEGAPORT LTD","Information Technology","Equity","5,114,979.93","0.88","5,114,979.93","799,357.00","6.40","Australia","Asx - All Markets","USD","1.49","AUD","-"
"NFLX","NETFLIX INC","Communication","Equity","5,113,353.92","0.88","5,113,353.92","10,832.00","472.06","United States","NASDAQ","USD","1.00","USD","-"
"1357","MEITU INC","Communication","Equity","5,112,022.14","0.88","5,112,022.14","10,554,500.00","0.48","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"ANSS","ANSYS INC","Information Technology","Equity","5,106,017.07","0.88","5,106,017.07","17,281.00","295.47","United States","NASDAQ","USD","1.00","USD","-"
"2498","HTC CORP","Information Technology","Equity","5,093,579.63","0.87","5,093,579.63","3,132,000.00","1.63","Taiwan","Taiwan Stock Exchange","USD","31.24","TWD","-"
"2344","WINBOND ELECTRONICS CORP","Information Technology","Equity","5,072,808.49","0.87","5,072,808.49","5,550,150.00","0.91","Taiwan","Taiwan Stock Exchange","USD","31.24","TWD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","5,057,774.40","0.87","5,057,774.40","19,334.00","261.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"9988","ALIBABA GROUP HOLDING LTD","Consumer Discretionary","Equity","5,035,656.40","0.86","5,035,656.40","548,500.00","9.18","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","5,031,858.85","0.86","5,031,858.85","88,998.00","56.54","Korea (South)","Korea Exchange (Stock Market)","USD","1,296.45","KRW","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","4,929,226.08","0.85","4,929,226.08","13,296.00","370.73","United States","NASDAQ","USD","1.00","USD","-"
"BSY","BENTLEY SYSTEMS INC CLASS B","Information Technology","Equity","4,899,324.75","0.84","4,899,324.75","97,499.00","50.25","United States","NASDAQ","USD","1.00","USD","-"
"3035","FARADAY TECHNOLOGY CORP","Information Technology","Equity","4,865,493.89","0.83","4,865,493.89","421,000.00","11.56","Taiwan","Taiwan Stock Exchange","USD","31.24","TWD","-"
"1024","KUAISHOU TECHNOLOGY","Communication","Equity","4,861,965.44","0.83","4,861,965.44","687,400.00","7.07","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"018260","SAMSUNG SDS LTD","Information Technology","Equity","4,833,472.33","0.83","4,833,472.33","38,024.00","127.12","Korea (South)","Korea Exchange (Stock Market)","USD","1,296.45","KRW","-"
"PEGA","PEGASYSTEMS INC","Information Technology","Equity","4,818,744.30","0.83","4,818,744.30","96,510.00","49.93","United States","NASDAQ","USD","1.00","USD","-"
"9888","BAIDU CLASS A INC","Communication","Equity","4,807,565.01","0.82","4,807,565.01","336,200.00","14.30","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"SYM","SYMBOTIC CORP CLASS A","Industrials","Equity","4,804,012.15","0.82","4,804,012.15","89,845.00","53.47","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","4,782,682.40","0.82","4,782,682.40","8,180.00","584.68","United States","NASDAQ","USD","1.00","USD","-"
"4919","NUVOTON TECHNOLOGY CORP","Information Technology","Equity","4,744,161.48","0.81","4,744,161.48","1,051,000.00","4.51","Taiwan","Taiwan Stock Exchange","USD","31.24","TWD","-"
"7752","RICOH LTD","Information Technology","Equity","4,707,879.09","0.81","4,707,879.09","614,800.00","7.66","Japan","Tokyo Stock Exchange","USD","141.76","JPY","-"
"9999","NETEASE INC","Communication","Equity","4,618,711.36","0.79","4,618,711.36","220,600.00","20.94","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"5253","COVER CORP","Communication","Equity","4,607,419.14","0.79","4,607,419.14","235,700.00","19.55","Japan","Tokyo Stock Exchange","USD","141.76","JPY","-"
"3896","KINGSOFT CLOUD HOLDINGS LTD","Information Technology","Equity","4,603,217.44","0.79","4,603,217.44","16,632,000.00","0.28","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"TDC","TERADATA CORP","Information Technology","Equity","4,595,921.22","0.79","4,595,921.22","107,206.00","42.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"7012","KAWASAKI HEAVY INDUSTRIES LTD","Industrials","Equity","4,557,625.48","0.78","4,557,625.48","219,900.00","20.73","Japan","Tokyo Stock Exchange","USD","141.76","JPY","-"
"POLICYBZR","PB FINTECH LTD","Financials","Equity","4,499,021.57","0.77","4,499,021.57","473,057.00","9.51","India","National Stock Exchange Of India","USD","83.00","INR","-"
"ORCL","ORACLE CORP","Information Technology","Equity","4,382,317.80","0.75","4,382,317.80","42,415.00","103.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"2388","VIA TECHNOLOGIES INC","Information Technology","Equity","4,364,893.63","0.75","4,364,893.63","874,000.00","4.99","Taiwan","Taiwan Stock Exchange","USD","31.24","TWD","-"
"CXM","SPRINKLR INC CLASS A","Information Technology","Equity","3,583,510.92","0.61","3,583,510.92","319,386.00","11.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INR","INR CASH","Cash and/or Derivatives","Cash","1,740,204.12","0.30","1,740,204.12","144,432,591.00","1.20","India","-","USD","83.00","INR","-"
"AUD","AUD CASH","Cash and/or Derivatives","Cash","1,327,246.14","0.23","1,327,246.14","1,974,628.00","67.22","Australia","-","USD","1.49","AUD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","1,130,804.46","0.19","1,130,804.46","1,130,804.00","100.00","United States","-","USD","1.00","USD","-"
"VMEO","VIMEO INC","Communication","Equity","1,034,271.70","0.18","1,034,271.70","268,642.00","3.85","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","800,000.00","0.14","800,000.00","800,000.00","1.00","United States","-","USD","1.00","USD","-"
"KRW","KRW CASH","Cash and/or Derivatives","Cash","608,849.77","0.10","608,849.77","789,343,289.00","0.08","Korea (South)","-","USD","1,296.45","KRW","-"
"067160","AFREECATV LTD","Communication","Equity","273,522.93","0.05","273,522.93","4,871.00","56.15","Korea (South)","Korea Exchange (Kosdaq)","USD","1,296.45","KRW","-"
"KC","KINGSOFT CLOUD HOLDINGS ADR REPRES","Information Technology","Equity","262,048.50","0.04","262,048.50","69,325.00","3.78","China","NASDAQ","USD","1.00","USD","-"
"CHF","CHF CASH","Cash and/or Derivatives","Cash","175,864.66","0.03","175,864.66","152,448.00","115.36","Switzerland","-","USD","0.87","CHF","-"
"SEK","SEK CASH","Cash and/or Derivatives","Cash","131,037.35","0.02","131,037.35","1,344,286.00","9.75","Sweden","-","USD","10.26","SEK","-"
"HBCFT","CASH COLLATERAL USD HBCFT","Cash and/or Derivatives","Cash Collateral and Margins","29,000.00","0.00","29,000.00","29,000.00","100.00","United Kingdom","-","USD","1.00","USD","May 28, 2019"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","211.51","0.00","211.51","167.00","127.00","United Kingdom","-","USD","0.79","GBP","-"
"KRW","KRW/USD","Cash and/or Derivatives","FX","172.87","0.00","172.87","-1,162,028,967.00","1.00","United States","-","USD","1,296.45","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","FX","-20.61","0.00","-20.61","2,944,087.00","1.00","United States","-","USD","0.92","USD","-"
"NOK","NOK/USD","Cash and/or Derivatives","FX","-17.29","0.00","-17.29","18,965,352.00","1.00","United States","-","USD","10.47","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","FX","-13.51","0.00","-13.51","-1,929,819.00","1.00","United States","-","USD","1.49","USD","-"
"ILS","ILS/USD","Cash and/or Derivatives","FX","-12.07","0.00","-12.07","4,054,919.00","1.00","United States","-","USD","3.67","USD","-"
"CAD","CAD/USD","Cash and/or Derivatives","FX","-7.24","0.00","-7.24","979,381.00","1.00","United States","-","USD","1.34","USD","-"
"CHF","CHF/USD","Cash and/or Derivatives","FX","-1.62","0.00","-1.62","-135,465.00","1.00","United States","-","USD","0.87","USD","-"
"HKD","HKD/USD","Cash and/or Derivatives","FX","-94.65","0.00","-94.65","73,911,838.00","1.00","United States","-","USD","7.80","USD","-"
"TWD","TWD/USD","Cash and/or Derivatives","FX","-6,181.47","0.00","-6,181.47","-326,213,303.00","1.00","United States","-","USD","31.24","USD","-"
"INR","INR/USD","Cash and/or Derivatives","FX","-6,960.61","0.00","-6,960.61","-144,432,591.00","1.00","United States","-","USD","83.00","USD","-"
"JPY","JPY CASH","Cash and/or Derivatives","Cash","-68,945.46","-0.01","-68,945.46","-9,773,363.00","0.71","Japan","-","USD","141.76","JPY","-"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","-710,927.95","-0.12","-710,927.95","-950,546.00","74.79","Canada","-","USD","1.34","CAD","-"
"ILS","ILS CASH","Cash and/or Derivatives","Cash","-1,106,789.77","-0.19","-1,106,789.77","-4,057,381.00","27.28","Israel","-","USD","3.67","ILS","-"
"NOK","NOK CASH","Cash and/or Derivatives","Cash","-2,019,975.03","-0.35","-2,019,975.03","-21,154,694.00","9.55","Norway","-","USD","10.47","NOK","-"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","-4,183,562.21","-0.72","-4,183,562.21","-3,832,680.00","109.15","European Union","-","USD","0.92","EUR","-"
"HKD","HKD CASH","Cash and/or Derivatives","Cash","-9,792,618.12","-1.68","-9,792,618.12","-76,425,019.00","12.81","Hong Kong","-","USD","7.80","HKD","-"
